Date,Australian dollar(AUD),Canadian dollar(CAD),Chinese yuan(CNY),Euro(EUR),Indian rupee(INR),Japanese yen(JPY),U.K. pound(GBP)
08-Jul-2021,0.746,1.254,6.4802,1.1838,74.6979,110.56,1.3771
09-Jul-2021,0.7427,1.2476,6.4859,1.1858,74.6446,109.9,1.3809
12-Jul-2021,0.7474,1.2471,6.4747,1.1852,74.466,110.16,1.38545
13-Jul-2021,0.7488,1.2514,6.4643,1.1844,74.4884,110.38,1.3857
14-Jul-2021,0.746,1.2497,6.4756,1.1812,74.5708,110.65,1.38625
15-Jul-2021,0.7478,1.2572,6.46,1.1809,74.5187,109.91,1.3876
16-Jul-2021,0.7439,1.2593,6.4692,1.1802,74.6232,109.89,1.38055
19-Jul-2021,0.7382,1.2759,6.4831,1.1766,74.7902,109.87,1.3704
20-Jul-2021,0.7324,1.273,6.4836,1.1775,74.8596,109.49,1.36185
21-Jul-2021,0.7298,1.2589,6.473,1.1772,74.8596,109.97,1.3604
22-Jul-2021,0.7356,1.2567,6.4655,1.1775,74.3679,109.97,1.3762
23-Jul-2021,0.7365,1.2575,6.4774,1.1767,74.4262,109.97,1.3736
26-Jul-2021,0.7353,1.2549,6.4834,1.1787,74.4578,110.4,1.3784
27-Jul-2021,0.7372,1.2578,6.5063,1.181,74.416,110.25,1.3792
28-Jul-2021,0.7361,1.2566,6.5037,1.1807,74.435,109.86,1.3879
29-Jul-2021,0.7383,1.245,6.464,1.1873,74.2822,109.75,1.3961
30-Jul-2021,0.7381,1.2462,6.4568,1.1891,74.3871,109.5,1.3968
02-Aug-2021,0.7381,1.2462,6.4609,1.1886,74.4035,109.64,1.39
03-Aug-2021,0.7397,1.2545,6.4648,1.1885,74.2957,109.3,1.3935
04-Aug-2021,0.7397,1.2545,6.4597,1.1861,74.1493,109.04,1.3927
05-Aug-2021,0.7395,1.2497,6.4618,1.185,74.2644,109.65,1.3917
06-Aug-2021,0.7391,1.255,6.4647,1.1807,74.1888,109.87,1.391
09-Aug-2021,0.7357,1.2565,6.4764,1.1761,74.2261,109.87,1.3881
10-Aug-2021,0.733,1.254,6.4809,1.1722,74.3855,110.33,1.3861
11-Aug-2021,0.7338,1.2506,6.4857,1.1718,74.4276,110.67,1.3818
12-Aug-2021,0.7365,1.252,6.4769,1.1739,74.2816,110.35,1.3851
13-Aug-2021,0.7337,1.2514,6.48,1.1765,74.2971,110.45,1.3804
16-Aug-2021,0.7337,1.2514,6.4783,1.1772,74.2971,109.49,1.386
17-Aug-2021,0.7337,1.2514,6.4814,1.1767,74.2971,109.3,1.3792
18-Aug-2021,0.7259,1.263,6.4805,1.1723,74.3002,109.57,1.3752
19-Aug-2021,0.719,1.2792,6.4926,1.1696,74.3002,109.98,1.3688
20-Aug-2021,0.7133,1.2856,6.4995,1.1671,74.4275,109.86,1.36215
23-Aug-2021,0.7161,1.2682,6.4903,1.1718,74.2765,109.84,1.3676
24-Aug-2021,0.7234,1.2608,6.4773,1.174,74.1379,109.76,1.3719
25-Aug-2021,0.7245,1.2619,6.4753,1.1736,74.2992,109.84,1.3721
26-Aug-2021,0.7264,1.2651,6.4825,1.1767,74.2578,110.0,1.3738
27-Aug-2021,0.7247,1.2635,6.4779,1.1761,74.1332,110.0,1.3707
30-Aug-2021,0.7297,1.2603,6.4674,1.1801,73.5007,109.74,1.3707
31-Aug-2021,0.7335,1.2617,6.46,1.1834,73.1536,109.87,1.3769
01-Sep-2021,0.7325,1.2607,6.4644,1.1817,72.9589,110.26,1.3761
07-Sep-2021,0.7422,1.2621,6.4584,1.186,73.2814,109.8,1.37915
08-Sep-2021,0.7384,1.2676,6.4624,1.1827,73.6519,110.27,1.3765
09-Sep-2021,0.7349,1.2654,6.4569,1.1838,73.6887,110.2,1.3812
10-Sep-2021,0.7382,1.2631,6.4403,1.1841,73.6887,109.78,1.38725
13-Sep-2021,0.7382,1.2631,6.4528,1.178,73.6887,109.96,1.38285
14-Sep-2021,0.734,1.2661,6.4427,1.1814,73.6214,110.07,1.3869
15-Sep-2021,0.7323,1.2651,6.4369,1.1824,73.6712,109.64,1.3826
16-Sep-2021,0.7317,1.2674,6.4448,1.1763,73.4311,109.4,1.3824
17-Sep-2021,0.7303,1.2721,6.4522,1.178,73.4927,109.8,1.3793
20-Sep-2021,0.7241,1.2828,6.4522,1.1711,73.6459,109.8,1.36945
21-Sep-2021,0.7268,1.2801,6.4522,1.1738,73.5907,109.55,1.3686
22-Sep-2021,0.725,1.2756,6.4684,1.1729,73.8026,109.22,1.3641
23-Sep-2021,0.7244,1.2653,6.4648,1.1715,73.7261,109.22,1.3682
24-Sep-2021,0.7297,1.268,6.4623,1.1719,73.6935,110.4,1.3695
27-Sep-2021,0.7284,1.2637,6.4602,1.1698,73.6567,110.8,1.37
28-Sep-2021,0.731,1.268,6.4562,1.1678,73.7746,111.03,1.3602
29-Sep-2021,0.7254,1.2741,6.4682,1.1654,74.153,111.63,1.3505
30-Sep-2021,0.7206,1.2741,6.4634,1.1579,74.2551,111.91,1.3435
01-Oct-2021,0.7211,1.2654,6.4634,1.16,74.2644,111.4,1.3513
04-Oct-2021,0.7211,1.2583,6.4634,1.1636,74.2429,110.97,1.35905
05-Oct-2021,0.7265,1.2575,6.4634,1.1602,74.5307,110.92,1.36245
06-Oct-2021,0.726,1.2613,6.4634,1.1542,74.6292,111.62,1.3573
07-Oct-2021,0.7281,1.2558,6.4634,1.1562,74.8607,111.38,1.35945
08-Oct-2021,0.7298,1.2482,6.4482,1.1569,74.994,111.72,1.3629
12-Oct-2021,0.7349,1.2461,6.4568,1.1555,75.3424,113.48,1.36155
13-Oct-2021,0.734,1.2445,6.4469,1.1562,75.4576,113.48,1.3624
14-Oct-2021,0.7388,1.2372,6.4366,1.1602,75.3039,113.38,1.37095
15-Oct-2021,0.7422,1.2379,6.4286,1.1602,75.3039,113.89,1.37455
18-Oct-2021,0.7403,1.2375,6.4337,1.1604,75.3434,114.27,1.3728
19-Oct-2021,0.7455,1.2357,6.4011,1.1655,75.3434,114.14,1.38265
20-Oct-2021,0.7499,1.2329,6.3935,1.1623,75.0507,114.55,1.3761
21-Oct-2021,0.7508,1.2351,6.3993,1.1637,74.7635,114.26,1.3803
22-Oct-2021,0.7477,1.2357,6.3913,1.163,74.7836,114.02,1.37865
25-Oct-2021,0.7487,1.2379,6.3808,1.1603,75.0191,113.71,1.3771
26-Oct-2021,0.7515,1.2376,6.3833,1.1618,75.1167,113.95,1.3828
27-Oct-2021,0.7526,1.2358,6.3853,1.1617,74.9519,114.15,1.3713
28-Oct-2021,0.751,1.2349,6.3945,1.1593,74.8216,113.6,1.3761
29-Oct-2021,0.7546,1.2384,6.3904,1.1645,74.7858,113.65,1.3784
01-Nov-2021,0.7505,1.2368,6.4029,1.1578,74.9298,114.12,1.36775
02-Nov-2021,0.7497,1.2404,6.3995,1.1603,74.7616,114.1,1.3654
03-Nov-2021,0.7435,1.2417,6.3994,1.1578,74.5684,114.1,1.3653
04-Nov-2021,0.7448,1.2449,6.3952,1.1569,74.5684,114.15,1.35895
05-Nov-2021,0.7397,1.2452,6.4,1.1519,74.5684,113.77,1.34425
08-Nov-2021,0.7398,1.2449,6.3978,1.1579,74.1106,113.59,1.35165
09-Nov-2021,0.741,1.2448,6.3956,1.1577,73.9191,113.25,1.35705
10-Nov-2021,0.7368,1.2452,6.3929,1.1558,74.1659,112.85,1.3504
11-Nov-2021,0.7304,1.2452,6.4044,1.146,74.4749,113.95,1.3399
12-Nov-2021,0.7287,1.2565,6.3926,1.1448,74.4694,114.24,1.33935
15-Nov-2021,0.7343,1.2517,6.3813,1.1444,74.3548,113.98,1.344
16-Nov-2021,0.7354,1.255,6.3798,1.1368,74.4535,114.19,1.34475
17-Nov-2021,0.7284,1.2595,6.3869,1.1316,74.3753,114.85,1.34545
18-Nov-2021,0.7273,1.2615,6.3777,1.1345,74.1552,114.17,1.3487
19-Nov-2021,0.7274,1.2639,6.3836,1.1271,74.1552,114.33,1.3452
22-Nov-2021,0.7253,1.268,6.3828,1.1278,74.3836,114.09,1.3439
23-Nov-2021,0.7221,1.2707,6.3838,1.1259,74.5042,114.09,1.3358
24-Nov-2021,0.7209,1.2677,6.3888,1.1206,74.4063,115.19,1.33735
29-Nov-2021,0.714,1.2677,6.3848,1.1276,75.091,113.7,1.3342
30-Nov-2021,0.7144,1.2792,6.3716,1.1363,75.0885,113.8,1.33415
01-Dec-2021,0.7169,1.2776,6.366,1.1314,74.9163,113.4,1.3323
02-Dec-2021,0.7098,1.2815,6.3758,1.1339,74.9989,112.96,1.3329
03-Dec-2021,0.7076,1.2812,6.3694,1.1291,74.9852,113.13,1.3265
06-Dec-2021,0.7025,1.278,6.3725,1.1287,75.2978,113.05,1.32795
07-Dec-2021,0.7071,1.266,6.3677,1.1256,75.3532,113.7,1.3253
08-Dec-2021,0.7133,1.2642,6.3556,1.1299,75.4733,113.48,1.3213
09-Dec-2021,0.7174,1.27,6.3435,1.1311,75.4992,113.75,1.3185
10-Dec-2021,0.7151,1.2714,6.3674,1.1273,75.7189,113.44,1.3199
13-Dec-2021,0.7151,1.2714,6.3633,1.1278,75.7189,113.55,1.3261
14-Dec-2021,0.7104,1.2714,6.363,1.1309,75.8985,113.65,1.3251
15-Dec-2021,0.7104,1.2714,6.3648,1.1262,75.8985,113.78,1.326
16-Dec-2021,0.716,1.2782,6.3667,1.1336,76.2528,114.13,1.3334
17-Dec-2021,0.7167,1.2846,6.3723,1.133,76.1733,113.85,1.3287
20-Dec-2021,0.7109,1.2942,6.3783,1.1273,75.9865,113.59,1.32015
21-Dec-2021,0.7113,1.2927,6.3716,1.1295,75.5925,113.65,1.32465
22-Dec-2021,0.7133,1.2865,6.3735,1.1301,75.5947,114.16,1.3315
23-Dec-2021,0.721,1.2865,6.3704,1.131,75.3481,114.21,1.3434
03-Jan-2022,0.721,1.2865,6.3704,1.1355,74.3115,114.21,1.3434
04-Jan-2022,0.7211,1.2708,6.3751,1.1279,74.5717,115.42,1.34955
05-Jan-2022,0.7232,1.2717,6.372,1.1319,74.484,116.2,1.3541
06-Jan-2022,0.7177,1.2741,6.3742,1.1315,74.4398,116.04,1.3537
07-Jan-2022,0.7162,1.2666,6.3734,1.1298,74.2939,115.89,1.3551
10-Jan-2022,0.7193,1.2679,6.3726,1.1318,74.163,115.89,1.35835
11-Jan-2022,0.7186,1.2606,6.3726,1.1336,73.9319,115.32,1.3584
12-Jan-2022,0.7218,1.251,6.3645,1.137,73.9968,115.33,1.36345
13-Jan-2022,0.7291,1.2484,6.3605,1.1463,73.9348,114.66,1.3725
14-Jan-2022,0.7283,1.2545,6.346,1.1447,74.1157,114.0,1.3723
18-Jan-2022,0.7195,1.2529,6.3504,1.1367,74.4115,114.54,1.3601
19-Jan-2022,0.7188,1.2492,6.3527,1.1345,74.5955,114.7,1.3631
20-Jan-2022,0.7238,1.2474,6.3424,1.1338,74.3618,114.28,1.3606
21-Jan-2022,0.7192,1.2545,6.3411,1.1348,74.5343,113.83,1.35575
24-Jan-2022,0.718,1.2656,6.3318,1.1304,74.5788,113.83,1.3488
25-Jan-2022,0.7133,1.2629,6.329,1.1268,74.7025,113.98,1.3446
26-Jan-2022,0.7133,1.2606,6.3234,1.1277,74.7025,113.81,1.35115
27-Jan-2022,0.7082,1.2712,6.3612,1.116,75.1724,114.67,1.3386
28-Jan-2022,0.7028,1.2772,6.3642,1.1138,74.9513,115.44,1.3389
31-Jan-2022,0.7011,1.2719,6.3642,1.1156,74.9674,115.43,1.3404
01-Feb-2022,0.7066,1.2694,6.3642,1.126,74.5295,115.15,1.3495
02-Feb-2022,0.7134,1.2677,6.3642,1.1323,74.8334,114.7,1.3565
03-Feb-2022,0.712,1.2677,6.3642,1.1286,74.857,114.45,1.36015
04-Feb-2022,0.715,1.2758,6.3642,1.1464,74.7231,115.0,1.3574
07-Feb-2022,0.7092,1.2688,6.3567,1.1447,74.7231,115.23,1.3512
08-Feb-2022,0.7121,1.2709,6.3711,1.1408,74.69,115.29,1.3544
09-Feb-2022,0.7167,1.268,6.3623,1.1435,74.818,115.53,1.3578
10-Feb-2022,0.7175,1.2682,6.3576,1.1439,74.9367,115.59,1.3569
11-Feb-2022,0.712,1.2702,6.3614,1.1417,75.3542,115.59,1.3563
14-Feb-2022,0.7118,1.2738,6.3588,1.1316,75.5533,115.4,1.3514
15-Feb-2022,0.7127,1.2741,6.3516,1.1345,75.6611,115.42,1.35355
16-Feb-2022,0.7155,1.2686,6.3357,1.1372,75.0815,115.69,1.3558
17-Feb-2022,0.7172,1.2695,6.3346,1.137,75.0866,115.45,1.361
18-Feb-2022,0.7206,1.2734,6.3276,1.1354,74.9223,114.94,1.36195
22-Feb-2022,0.7202,1.2743,6.3374,1.1342,74.8804,114.7,1.35545
23-Feb-2022,0.7235,1.2718,6.3219,1.1344,74.6224,114.7,1.35865
24-Feb-2022,0.7198,1.2832,6.3189,1.1163,75.2578,114.94,1.3395
25-Feb-2022,0.7198,1.2747,6.3141,1.1216,75.2842,115.54,1.33875
28-Feb-2022,0.7182,1.2698,6.3109,1.1199,75.4882,115.55,1.33945
01-Mar-2022,0.726,1.2708,6.3133,1.1162,75.4882,115.25,1.3409
02-Mar-2022,0.7269,1.2668,6.3119,1.1106,75.72,115.0,1.3334
03-Mar-2022,0.7301,1.2664,6.3194,1.1076,75.7111,115.6,1.33695
04-Mar-2022,0.7359,1.275,6.321,1.0929,76.1246,115.38,1.3286
07-Mar-2022,0.7419,1.2773,6.3187,1.0895,76.9239,114.92,1.3169
08-Mar-2022,0.7309,1.2867,6.3173,1.0892,76.8816,115.47,1.31185
09-Mar-2022,0.7285,1.2821,6.3177,1.0993,76.8567,115.87,1.3148
10-Mar-2022,0.7321,1.2776,6.3207,1.1084,76.116,116.0,1.3159
11-Mar-2022,0.7336,1.272,6.3203,1.099,76.4359,116.3,1.3109
14-Mar-2022,0.7336,1.2777,6.3606,1.096,76.6086,117.58,1.3026
15-Mar-2022,0.7186,1.2803,6.3802,1.0991,76.4879,118.23,1.3055
16-Mar-2022,0.7207,1.2721,6.348,1.0994,76.3482,118.39,1.3092
17-Mar-2022,0.7318,1.2651,6.3476,1.1051,75.8935,118.97,1.31555
18-Mar-2022,0.738,1.2617,6.3619,1.1008,75.8935,118.68,1.31295
21-Mar-2022,0.7404,1.2593,6.3634,1.1038,76.1347,118.68,1.3143
22-Mar-2022,0.7394,1.2588,6.3603,1.1024,76.3807,120.0,1.32215
23-Mar-2022,0.7459,1.2571,6.376,1.0985,76.1872,121.19,1.3204
24-Mar-2022,0.7473,1.2545,6.3691,1.0978,76.3403,121.24,1.32025
25-Mar-2022,0.7526,1.2502,6.3633,1.1002,76.1781,121.82,1.31965
28-Mar-2022,0.7524,1.2541,6.3732,1.0966,76.2569,122.22,1.31565
29-Mar-2022,0.7482,1.2509,6.3709,1.1085,75.9731,124.2,1.30965
30-Mar-2022,0.7527,1.247,6.355,1.1126,75.7678,122.5,1.3138
31-Mar-2022,0.7482,1.2496,6.3427,1.1101,75.8071,122.4,1.31255
01-Apr-2022,0.7477,1.2512,6.3588,1.1052,75.8071,122.2,1.3141
04-Apr-2022,0.7514,1.249,6.3588,1.1005,75.8071,122.43,1.30965
05-Apr-2022,0.7615,1.2451,6.3588,1.0969,75.3899,122.55,1.3129
06-Apr-2022,0.7572,1.2509,6.3642,1.0923,75.6016,124.0,1.30825
07-Apr-2022,0.7483,1.2584,6.3626,1.0916,75.8029,123.64,1.3072
08-Apr-2022,0.7483,1.2584,6.3625,1.0861,75.7811,124.0,1.3042
11-Apr-2022,0.7448,1.2621,6.3702,1.09,75.9627,125.0,1.3046
12-Apr-2022,0.7433,1.2617,6.3689,1.0861,76.1127,125.53,1.3015
13-Apr-2022,0.7451,1.2607,6.3653,1.0826,76.2248,125.6,1.30035
14-Apr-2022,0.7458,1.2601,6.369,1.0878,76.2248,125.3,1.3131
15-Apr-2022,0.7458,1.2601,6.3727,1.0878,76.2248,126.4,1.3131
18-Apr-2022,0.7458,1.2618,6.3723,1.0878,76.3737,126.64,1.3131
19-Apr-2022,0.7373,1.2624,6.3771,1.0803,76.2797,127.34,1.30275
20-Apr-2022,0.7426,1.2502,6.4163,1.083,76.4183,129.4,1.30585
21-Apr-2022,0.7444,1.2529,6.4465,1.0887,76.2091,128.28,1.30655
22-Apr-2022,0.7335,1.2702,6.4736,1.0817,76.3279,128.61,1.29085
25-Apr-2022,0.7335,1.2758,6.5507,1.0746,76.7366,128.78,1.27105
26-Apr-2022,0.722,1.2797,6.5543,1.0674,76.5612,127.6,1.2715
27-Apr-2022,0.7179,1.2828,6.5583,1.0583,76.6414,127.62,1.2587
28-Apr-2022,0.7096,1.2829,6.607,1.0485,76.6167,129.9,1.2466
29-Apr-2022,0.7148,1.2792,6.5866,1.054,76.4242,129.9,1.25695
02-May-2022,0.7043,1.2792,6.5866,1.0524,76.4346,130.07,1.25695
03-May-2022,0.7107,1.2847,6.5866,1.0556,76.4346,130.07,1.24965
04-May-2022,0.711,1.281,6.5866,1.0531,76.4841,130.07,1.2518
05-May-2022,0.7241,1.281,6.6179,1.0568,76.0887,130.07,1.2549
06-May-2022,0.7095,1.2882,6.6805,1.057,76.747,130.5,1.23725
09-May-2022,0.7002,1.2964,6.726,1.0559,77.3679,130.8,1.23455
10-May-2022,0.6975,1.3012,6.7242,1.0554,77.3537,130.35,1.2355
11-May-2022,0.6955,1.297,6.7276,1.0553,77.2641,130.4,1.2341
12-May-2022,0.6879,1.3039,6.7838,1.0408,77.5868,129.74,1.22085
13-May-2022,0.6898,1.2953,6.7825,1.0385,77.3543,128.9,1.21995
16-May-2022,0.6889,1.2888,6.8023,1.0422,77.3543,128.95,1.2268
17-May-2022,0.7007,1.2834,6.7535,1.0541,77.651,129.34,1.24655
18-May-2022,0.7034,1.2841,6.7518,1.0523,77.5716,129.31,1.2401
19-May-2022,0.6996,1.2809,6.7639,1.0525,77.6999,128.4,1.2426
20-May-2022,0.704,1.2829,6.674,1.0577,77.5829,127.76,1.24815
23-May-2022,0.7112,1.2829,6.6683,1.0659,77.589,127.76,1.2579
24-May-2022,0.7083,1.2826,6.6666,1.072,77.6352,127.87,1.25115
25-May-2022,0.7107,1.2837,6.6685,1.0656,77.5137,126.97,1.24905
26-May-2022,0.7066,1.2792,6.7324,1.0697,77.6262,127.48,1.2615
27-May-2022,0.7134,1.2738,6.7291,1.0722,77.6592,127.01,1.25915
31-May-2022,0.7187,1.2648,6.6612,1.0713,77.6641,128.2,1.2589
01-Jun-2022,0.7168,1.2639,6.6893,1.0712,77.5554,128.92,1.259
02-Jun-2022,0.7157,1.2597,6.6764,1.0692,77.5883,130.04,1.259
03-Jun-2022,0.7257,1.2579,6.6764,1.073,77.5994,129.82,1.259
06-Jun-2022,0.7201,1.2564,6.6459,1.0726,77.6718,130.75,1.2554
07-Jun-2022,0.7177,1.2555,6.6648,1.0662,77.7239,132.23,1.2496
08-Jun-2022,0.7202,1.254,6.6774,1.0739,77.7251,132.9,1.2537
09-Jun-2022,0.7176,1.2644,6.6869,1.0743,77.787,134.44,1.25335
10-Jun-2022,0.7121,1.2777,6.6885,1.0578,77.84,134.2,1.2442
13-Jun-2022,0.7121,1.2777,6.7347,1.0455,78.143,135.0,1.21995
14-Jun-2022,0.6966,1.2777,6.7316,1.0452,78.0015,134.12,1.2086
15-Jun-2022,0.6906,1.2777,6.7201,1.0431,78.0755,134.99,1.2091
16-Jun-2022,0.6999,1.2777,6.7135,1.04,78.0864,134.26,1.20865
17-Jun-2022,0.7012,1.2777,6.7013,1.0486,78.0875,133.2,1.23
21-Jun-2022,0.696,1.2929,6.6967,1.055,78.0861,135.19,1.2284
22-Jun-2022,0.6917,1.2942,6.7207,1.0521,78.2115,136.47,1.2249
23-Jun-2022,0.6898,1.2982,6.7081,1.0493,78.2662,135.2,1.2213
24-Jun-2022,0.6908,1.2933,6.6958,1.0524,78.3308,135.19,1.23055
27-Jun-2022,0.693,1.2887,6.6862,1.0572,78.289,134.6,1.22745
28-Jun-2022,0.6928,1.2864,6.6867,1.0561,78.6966,135.45,1.2241
29-Jun-2022,0.6898,1.2878,6.7024,1.0517,78.9376,136.11,1.21575
30-Jun-2022,0.6889,1.2886,6.6948,1.0387,78.9421,136.63,1.2109
01-Jul-2022,0.683,1.2886,6.7042,1.0425,79.094,135.98,1.2056
05-Jul-2022,0.6873,1.3038,6.6977,1.029,79.079,136.13,1.2023
06-Jul-2022,0.6784,1.3047,6.707,1.0177,79.332,135.68,1.19185
07-Jul-2022,0.6822,1.2986,6.7099,1.018,79.0235,135.7,1.199
08-Jul-2022,0.6824,1.2986,6.7049,1.0163,79.2499,136.02,1.19875
11-Jul-2022,0.6813,1.3,6.7093,1.0098,79.4098,136.45,1.1958
12-Jul-2022,0.672,1.3015,6.7355,1.0042,79.6401,137.15,1.18455
13-Jul-2022,0.6771,1.2976,6.72,1.0067,79.6592,137.12,1.1915
14-Jul-2022,0.6757,1.3138,6.7383,1.0005,79.871,138.0,1.1826
15-Jul-2022,0.6757,1.3138,6.7651,1.0059,79.871,138.9,1.18395
18-Jul-2022,0.6802,1.2948,6.7425,1.0131,79.8958,138.9,1.1984
19-Jul-2022,0.6851,1.2904,6.7438,1.0245,79.9478,138.22,1.2025
20-Jul-2022,0.6912,1.2884,6.7531,1.0199,79.9738,138.15,1.19815
21-Jul-2022,0.691,1.2895,6.7643,1.0199,79.9763,138.45,1.1962
22-Jul-2022,0.6906,1.2876,6.7689,1.019,79.9101,137.32,1.1954
25-Jul-2022,0.6909,1.2852,6.7546,1.0236,79.8488,136.6,1.2051
26-Jul-2022,0.6961,1.2883,6.7572,1.0124,79.7948,136.45,1.1999
27-Jul-2022,0.694,1.2872,6.7594,1.0152,79.8967,136.99,1.20605
28-Jul-2022,0.6996,1.2835,6.743,1.0122,79.7434,135.3,1.212
29-Jul-2022,0.7007,1.2824,6.7286,1.0198,79.4203,133.0,1.2182
01-Aug-2022,0.7007,1.2824,6.7522,1.0233,79.169,132.5,1.2244
02-Aug-2022,0.6956,1.2856,6.7607,1.0224,78.6082,130.85,1.22035
03-Aug-2022,0.6934,1.2853,6.7535,1.0194,78.8427,133.75,1.2182
04-Aug-2022,0.6961,1.2854,6.7547,1.0181,79.5427,133.62,1.21725
05-Aug-2022,0.6968,1.2934,6.7471,1.0233,79.1158,133.01,1.2141
08-Aug-2022,0.6937,1.2857,6.7576,1.0199,79.5785,135.4,1.2106
09-Aug-2022,0.6975,1.288,6.7554,1.0234,79.5785,134.86,1.21075
10-Aug-2022,0.6956,1.2789,6.7577,1.0252,79.5033,135.2,1.2097
11-Aug-2022,0.7075,1.2753,6.7383,1.0338,79.4881,135.2,1.22055
12-Aug-2022,0.7122,1.2783,6.7347,1.0285,79.7011,133.35,1.2128
15-Aug-2022,0.7083,1.2908,6.7677,1.0195,79.7011,133.0,1.20905
16-Aug-2022,0.7038,1.2867,6.7898,1.0131,79.7011,133.17,1.2022
17-Aug-2022,0.7024,1.2912,6.777,1.0164,79.4335,134.31,1.2102
18-Aug-2022,0.6927,1.2928,6.7932,1.0178,79.6667,134.88,1.2054
19-Aug-2022,0.6914,1.2991,6.8119,1.0054,79.7528,136.28,1.18445
22-Aug-2022,0.6892,1.3035,6.8362,1.0001,79.8703,137.2,1.1804
23-Aug-2022,0.6877,1.2972,6.8594,0.9927,79.8903,137.28,1.1764
24-Aug-2022,0.6905,1.2983,6.8634,0.9934,79.7927,136.9,1.1776
25-Aug-2022,0.6955,1.2937,6.8516,0.997,79.8705,136.94,1.1826
26-Aug-2022,0.6957,1.2989,6.8613,1.0007,79.9097,136.72,1.1835
29-Aug-2022,0.6858,1.3009,6.9197,0.9986,80.0906,139.0,1.1835
30-Aug-2022,0.6905,1.3076,6.9135,1.0034,79.7194,138.5,1.1718
31-Aug-2022,0.6902,1.3111,6.8934,1.0,79.7194,138.61,1.1616
01-Sep-2022,0.6834,1.3166,6.9033,1.0004,79.397,139.5,1.1559
02-Sep-2022,0.679,1.3121,6.9019,0.9993,79.7888,140.05,1.1567
06-Sep-2022,0.68,1.3139,6.9433,0.9928,79.8893,141.0,1.15745
07-Sep-2022,0.6711,1.3164,6.967,0.9885,79.922,144.12,1.1446
08-Sep-2022,0.6741,1.3116,6.9631,1.0009,79.6712,144.4,1.1544
09-Sep-2022,0.6828,1.3035,6.9201,1.0049,79.6358,143.76,1.1614
12-Sep-2022,0.6843,1.298,6.9201,1.0155,79.6776,142.8,1.1683
13-Sep-2022,0.6874,1.311,6.9239,1.0175,79.064,142.58,1.173
14-Sep-2022,0.6724,1.3166,6.9649,0.999,79.5837,144.45,1.15635
15-Sep-2022,0.6748,1.32,6.9719,0.9992,79.583,143.25,1.1506
16-Sep-2022,0.6702,1.32,7.0195,0.9954,79.818,143.02,1.1407
19-Sep-2022,0.6694,1.3288,7.0184,0.999,79.6657,143.02,1.1407
20-Sep-2022,0.672,1.3345,7.0089,0.9986,79.6778,143.23,1.14395
21-Sep-2022,0.6667,1.3397,7.0526,0.9906,79.9226,143.7,1.1342
22-Sep-2022,0.6667,1.348,7.0924,0.9884,80.7246,144.45,1.1295
23-Sep-2022,0.6624,1.357,7.107,0.9754,80.9165,144.45,1.1031
26-Sep-2022,0.6497,1.3716,7.153,0.9646,81.575,144.0,1.07245
27-Sep-2022,0.6501,1.3726,7.1521,0.9644,81.372,144.45,1.08025
28-Sep-2022,0.6386,1.366,7.2393,0.9565,81.9005,144.66,1.0654
29-Sep-2022,0.6466,1.3707,7.206,0.9706,81.8633,144.35,1.08325
30-Sep-2022,0.6502,1.3707,7.0958,0.9748,81.5522,144.74,1.1066
03-Oct-2022,0.6502,1.3662,7.0958,0.9764,81.7417,144.85,1.11995
04-Oct-2022,0.6474,1.3574,7.0958,0.9891,81.4267,144.7,1.1348
05-Oct-2022,0.6489,1.3641,7.0958,0.9915,81.4267,143.93,1.1368
06-Oct-2022,0.6535,1.3641,7.0958,0.986,81.7044,144.58,1.12605
07-Oct-2022,0.6405,1.3641,7.0958,0.9797,82.4,145.02,1.1196
11-Oct-2022,0.625,1.3775,7.1853,0.9723,82.3901,145.73,1.10685
12-Oct-2022,0.6271,1.3802,7.1707,0.9706,82.2411,146.18,1.1081
13-Oct-2022,0.6275,1.3806,7.1903,0.9739,82.4013,146.85,1.1155
14-Oct-2022,0.6327,1.3856,7.1815,0.9717,82.3877,147.37,1.1246
17-Oct-2022,0.623,1.373,7.2021,0.9739,82.4047,148.58,1.12815
18-Oct-2022,0.6322,1.3756,7.1901,0.9835,82.2279,148.9,1.12605
19-Oct-2022,0.6312,1.3779,7.218,0.9778,82.3735,149.18,1.1256
20-Oct-2022,0.6254,1.3729,7.2332,0.9811,83.2042,149.93,1.1215
21-Oct-2022,0.6265,1.3713,7.2476,0.973,82.8619,150.38,1.11255
24-Oct-2022,0.6346,1.3722,7.2586,0.9851,82.8619,146.0,1.13045
25-Oct-2022,0.6325,1.3638,7.3072,0.9861,82.7626,149.0,1.133
26-Oct-2022,0.6403,1.3565,7.2182,1.0023,82.7626,148.16,1.1566
27-Oct-2022,0.6511,1.3547,7.2334,1.0037,82.3889,146.11,1.15615
28-Oct-2022,0.6469,1.3615,7.2476,0.9951,82.4092,146.6,1.1537
31-Oct-2022,0.642,1.3649,7.2929,0.9914,82.3934,148.24,1.15375
01-Nov-2022,0.6423,1.3614,7.2741,0.9947,82.7126,148.73,1.15585
02-Nov-2022,0.6412,1.363,7.2781,0.9908,82.765,147.54,1.1503
03-Nov-2022,0.6369,1.3749,7.316,0.9753,82.8835,147.54,1.1211
04-Nov-2022,0.6348,1.3517,7.2675,0.9872,82.5287,148.25,1.1212
07-Nov-2022,0.643,1.3493,7.2492,0.9993,82.2112,147.02,1.1446
